Address,PropertyType,Beds,Baths,Sqft,YearBuilt,WalkScore,TransitScore,ParkingPrice,ParkingType,Cooling,Laundry,Description,Price
2621 Sarah St Pittsburgh PA 15203,1.0,3.0,1.5,1479.0,1900.0,91.0,61.0,0.0,1.0,1.0,1.0,"Beautiful 3 BR, 1.5 bath home for rent in the South Side Flats. Available August 1st. 2 Blocks from Carson.

Call or text today for a tour!

*3 BR/1.5 Bath
*AC
*Stainless Steel Appliances
*Hardwood Floors
*Washer/Dryer in Basement
*Private fenced in Backyard
*Balcony off Master Bedroom
*Great Closet Space!
*Large 3rd Floor Bedroom
*Great Location! 2 Blocks from Carson and 2 Blocks from LA Fitness
*Dogs ok! Sorry no cats. Pet fee is $25/month plus an additional one-time fee of $300.
*Tons of Charm and Character
*Easy Parking!
*Tenant pays G, E, W & S

Tenant responsible for G, E, W & SRead less",2250.0
604 Pressley St Pittsburgh PA 15212,0.0,2.0,1.0,1200.0,1950.0,89.0,83.0,0.0,1.0,1.0,1.0,"Check out this ultra-convenient Deutschtown apartment! This 2BR/1 Bath second-floor unit features a remodeled kitchen with granite countertops and stainless steel appliances, walk-in closets in both bedrooms, and easy access to shops, restaurants, Allegheny General Hospital, museums, and the stadiums.



Property Highlights:

- Central AC

- Remodeled kitchen with stainless steel appliances including dishwasher

- Breakfast bar

- Walk-in closet systems for both bedrooms

- Tiled shower

- Washer and dryer in building (shared)

- On-Street Parking Permit $20/year (+$1 for annual visitor parking pass)

- Convenient to shops and restaurants

- Close to Allegheny General Hospital

- Easy access to museums and stadiums

- Tenants pay all utilities



Available in MAY!

Find this property and others like it at IKOS.RENTRead less",1300.0
5719 Elwood St Pittsburgh PA 15232,0.0,2.0,1.0,1000.0,1950.0,97.0,71.0,0.0,0.0,1.0,0.0,"This large apartment is in a secure 6 unit building located @ the corner of Elwood and Summerlea Streets.
Great Shadyside location that is one block from shops & restaurants on Walnut Street and a few blocks from the shops & restaurants on S. Highland.
It's convenient to the Pitt and CMU Shuttles, Carlow University, and all of the UPMC Hospitals. It is also an easy walk to the East End Bus Way into downtown.

The apartment has:
Fully equipped galley style kitchen ( refrigerator, gas range, dishwasher, garbage disposal & microwave )
Breakfast bar
Newly installed hardwood and carpet.
Built-in shelving 
Decorative fireplace. 
Gas forced air heating, central air & ceiling fan.
There are 2 coin op washers & 2 coin op dryers in the basement of the building.
Parking is ON STREET by City Permit.
Monthly Rent is $1,275 + gas & electric 
 Virtual tours are available upon request
Please visit our website @ MadroneProperty.com

Tenant responsible for gas and electric, Owner pays water and sewageRead less",1275.0
419 Atlantic Ave Pittsburgh PA 15224,1.0,4.0,2.0,2400.0,1905.0,89.0,67.0,0.0,1.0,1.0,0.0,"9 rooms, with 4 large bedrooms 2 full bathrooms unit on 1st and 2nd floor; Equipped Kitchen; access to basement for laundry and storage; ceramic floors Kitchen and Bathrooms; w/w carpeting throughout; one off street parking space; large front porch; front and rear entrances.

Electris and Gas separate; water and sewage includedRead less",2500.0
5492 Youngridge Dr Pittsburgh PA 15236,0.0,2.0,1.0,658.0,1950.0,52.0,38.0,0.0,0.0,1.0,2.0,"Experience the difference. Experience The Alden South Hills. The community is under new ownership and new management with a whole new look. Our newly renovated apartment homes offer comfort, style and convenience. The open floor plans are perfect for entertaining. Your new modern appliances and designer kitchens will be the envy of your friends. Our renovations do not just end with the apartment. Not only will you love to show off your new home, but The Alden is the only community in Pittsburgh to have a stunning NEW 15,000 square foot clubhouse with resident business center and conference room, clubroom for lounging around and a private terrace that overlooks the pool. All of our valued residents will be able to relax poolside with a shimmering pool and sun deck. A great place to escape on a hot day. You will be able to stay fit in our state of the art fitness center! We love pets and we\u0027re the perfect place for you and your four legged friends. Located on 56 park like acres, you have tons of space to take your dog for a walk. The community has two convenient playgrounds, a basketball court with multiple grilling and picnic areas. Your South Hills location is a commuter\u0027s dream. You are just a 5 minute drive to the Library Street T station, just minutes from downtown Pittsburgh, I-376, I-79 and I-51 and multiple bus stops are located throughout the community. Experience a whole new lifestyle! 24 Hour Emergency Maintenance, Baldwin-Whitehall School District, Breakfast Bars Available, Community and Private Garages Available, Convenient to Shopping and Restaurants, Cozy Resident Lounge with Business Center and Meeting Room, Decorative Ceiling Fans, Designer Kitchens in Select Apartments, Fixed Water Rates, Granite Like Counter Tops with New Lighting, High-speed Internet, Individual Climate Control, Laundry Care Center in Every Building, Microwave (Select Units), New Clubhouse and Fitness Center Now Open!!!, New Kitchens Available, One, Two and Three Bedroom Units Available, Online Maintenance Requests, Online Payments and Credit Cards Accepted, Online Rent Payment and Resident Portal, Other, Pet friendly, Pets Welcome ( Weight limit for Apts & Townhomes: Breed Restrictions Apply), Picnic Areas with Grilling Stations, Public Transportation On-Site, Relaxing Sundeck with FREE WiFi, Renovated Bathrooms with a Pedastal Sink, Renovated Kitchens with Full Size Black Appliances, Shimmering Outdoor Pool, Spacious Floor Plans, Two Fantastic Playgrounds, Under New Management and Ownership, Wall to Wall Carpet, Washer/Dryers in Select Apartments",705.0
500 California Ave Avalon PA 15202,0.0,2.0,1.0,900.0,1950.0,64.0,39.0,0.0,1.0,0.0,0.0,"Welcome home to your nicely appointed 2BR apartment in a convenient location in Avalon. We are responsible landlords who take care of our tenants. In return, we look for responsible tenants who take pride in where they live and will take care of the property and pay the rent and utilities on time. Minimum credit score to qualify is 640. This is a nonsmoking/
NonVaping property. 

When replying to this ad, please ensure to include your credit score, number of people planning on living there. 
This is a NON-SMOKING property. If you smoke, please do not respond to this ad. 

The apartment has been updated with newer countertops, wood laminate flooring, ceramic tile and windows and a 95% efficient furnace. 

This property is NOT approved for Section 8 and no third party pay arrangements are accepted.

Tenant responsible for gas, electric and trash. Rent includes water and sewer.Read less",850.0
16 Brownell St Pittsburgh PA 15232,0.0,3.0,2.0,1100.0,1950.0,96.0,73.0,0.0,1.0,1.0,0.0,"This is a recently updated 2 or 3 bedrooms unit located in the heart of Shadyside with superb walk score 96. 
- Bedrooms: 3 good-size bedrooms or 2 bedrooms + living room unit with a recently updated hardwood-like floor. 
- Bathrooms: Two (2) modern gorgeous bathrooms with marble floor, all bathtubs surrounded with marble walls 
- Kitchen: large eat-in kitchen with food disposal, a dishwasher, an electric range with oven, a fridge, cabinets with countertop, and a walk-in pantry. 
- Central air conditioning (A/C) for cool summer and gas heat (lower costs than electric heat) 
- Laundry center: coin-op washer and dryer in the basement 
- Parking: off-street concrete parking space available on request ($70/month/car) 
- Motion sensor lights and surveillance cameras around the house for better safety

Tenants pay water/sewer $35/person/month, plus gas and electricity. Application fee: $35/person.Read less",1695.0
5562 Hobart St Pittsburgh PA 15217,0.0,1.0,1.0,810.0,1950.0,87.0,54.0,0.0,1.0,1.0,2.0,"This monumental apartment building from the Roaring 1920's sits in on the edge of Schenley Park, only a few blocks from the popular Murray Street.Features:-Studios to 2 bedroom apartments-Pet friendly-No Security Deposit-Heat, water, cooking gas, hot water, sewage and trash included in rent-Parking in garage (subject to availability)-PITT-CMU-UPMC Area-On-site laundry-Two elevators-Intercom-Air conditioning-Hardwood floors-Fully equipped kitchens",1145.0
325 Elizabeth Dr Pittsburgh PA 15220,0.0,0.0,1.0,591.0,2014.0,27.0,30.0,60.0,2.0,0.0,2.0,"Brand new City Vista offers one, two and three bedroom apartment homes in a beautiful setting that combines the comforts of home with superior resident services and outstanding community amenities. Our unsurpassed location, just one exit outside of Pittsburgh gives you the convenience of being just minutes from the area\u0027s best shopping, dining and entertainment! Enjoy our amazing resort-style swimming pool, 24/7 fitness/wellness center, cyber cafe, grilling and fire pit areas as well as an abundance of green space! Our easy no-tunnel commute to Downtown Pittsburgh and easy access to both 376 E/W and 79 N/S make City Vista the perfect location for wherever you work or play! Our apartments boast beautiful kitchens equipped icemakers, dishwashers, garbage disposals, and tons of cabinet and counter space! Being located in Green Tree Borough allows our residents to save 2% monthly on their occupation tax as opposed to living in the City of Pittsburgh which can add up to a substantial savings on a yearly basis! Give us a call to set up your personal tour of everything that City Vista has to offer! Check out Our Video Tour: https://vimeo.com136763683 1% Wage Tax in Green Tree Borough, 10 Ft. Ceilings Select Units, 24-Hour Service, 24-Hour Service Guarantee, Breakfast Bars, Car Care Center, Dens in select units, Double Stainless Steel Sinks, Easy No-Tunnel Commute to Pittsburgh, Fireplaces * Select Units, Fireplaces*, Furnished in select units, Gift Wrapping Station, Gourmet Kitchens with Whirlpool Appliances, Monthly Resident Events, Nine-Foot Ceilings, Picnic Areas with Grills, Private Patios*, Separate Dining Areas, Short-Term Leases Available, Track Lighting in Dining Areas",1186.0
434 5th Ave Pittsburgh PA 15219,0.0,1.0,1.0,796.0,2020.0,99.0,100.0,185.0,1.0,1.0,1.0,"
About KAUFMANNS GRAND ON FIFTH
Kaufmann's Grand on Fifth offers the most stylish and historic living in the heart of downtown Pittsburgh. Located in the iconic Kaufmann building, Kaufmann's Grand on Fifth mixes the beauties of the past with the luxuries of today. Studio, one and two-bedroom apartments are beautifully appointed with contemporary finishes and features including over-sized windows, open kitchens and stainless steel appliances. Amongst the sought-after central locale, this re-development under the clock offers convenient access to entertainment and nightlife all throughout the ""Golden Triangle"" in Pittsburgh.



Unique Features



24/7 Security on site


Coffee In Lobby


Conference Rooms


Fitness Center


Gas Range


Jacuizz Tub, Turkish Marble Flooring









Community Amenities





Fitness Center





Elevator





Doorman





Concierge
 






Package Service


Controlled Access


Maintenance on site


Property Manager on Site


Doorman


Concierge


24 Hour Availability


On-Site Retail


Recycling


Planned Social Activities


Public Transportation


Key Fob Entry


Elevator


Disposal Chutes


Conference Room


Fitness Center






Apartment Features





Washer/Dryer - In Unit





Air Conditioning





Dishwasher





Wheelchair Accessible (Rooms)





High Speed Internet Access





Hardwood Floors





Walk-In Closets





Island Kitchen
 


Highlights



High Speed Internet Access


Wi-Fi


Washer/Dryer - In Unit


Air Conditioning


Heating


Ceiling Fans


Smoke Free


Cable Ready


Double Vanities


Tub/Shower


Surround Sound


Intercom


Sprinkler System


Wheelchair Accessible (Rooms)





Kitchen Features & Appliances



Dishwasher


Disposal


Ice Maker


Granite Countertops


Stainless Steel Appliances


Pantry


Island Kitchen


Eat-in Kitchen


Kitchen


Microwave


Oven


Range


Refrigerator


Freezer


Breakfast Nook


Instant Hot Water





Floor Plan Details



Hardwood Floors


Carpet


Tile Floors


Dining Room


Crown Molding


Vaulted Ceiling


Bay Window


Views


Walk-In Closets


Linen Closet


Window Coverings


Large Bedrooms


Grill






",1722.0
425 6th Ave Pittsburgh PA 15219,0.0,2.0,2.0,900.0,1950.0,80.0,75.0,0.0,0.0,1.0,1.0,"Offering beautiful spaces, top-tier amenities, and today's modern conveniences. Ideally situated minutes from Pittsburgh's best shopping, restaurants, hotels, and employers.FOR A LIMITED TIME! Enjoy one month's rent free when you sign a 12-month lease!",1795.0
1119 Freyburg St Pittsburgh PA 15203,1.0,3.0,1.0,900.0,1950.0,87.0,64.0,0.0,0.0,1.0,1.0,"This 3 bedroom, 1 bathroom house is in a great location. It sits 4 streets off East Carson Street between 11th and 12th, so it's within walking distance to a lot of bars, restaurants, coffee shops, transportation and shopping. Because it sits back a few streets, the area is fairly quiet and a nice place to live. The house has neutral colors, spacious rooms, central a/c, wood floors, a full kitchen, basement, a washer/dryer in unit and there's also an enclosed patio in the back. There's on street permit parking in this part of the South Side, which makes finding a parking space a lot easier for residents. 

The house will be available on May 16th, 2021. 

The rent is $1500 + utilities. A credit check and security deposit are required. 

Please email me with an questions and/or to set up a time to view the listing.Read less",1500.0
1207 Kelton Ave Pittsburgh PA 15216,0.0,2.0,1.0,1000.0,1950.0,78.0,47.0,0.0,1.0,1.0,0.0,"AVAILABLE NOW: 1207 Kelton Ave, Unit 4, Pittsburgh PA 15216
Within Walking Distance to Keystone Oaks Middle/High School
Newly remodeled 2 bedroom, 1 bathroom apartment
Updated Kitchen
New Heating & Air Conditioning installed in the unit.
Off-street parking available, washer/dryer shared in basement

Tenant pays electric
Security Deposit: $1,000.00

Must make minimum $3,000.00/mo to apply! Owner will screen background and credit reports, applicant should have 600+ credit score.Read less",1000.0
2315 Wellington St Pittsburgh PA 15203,1.0,4.0,2.0,2800.0,1909.0,76.0,49.0,0.0,0.0,1.0,1.0,"Amazing 4 Bedroom 2 Bath House on South Side Slopes - Central Air - Views of the City! - Amazing 4 bedroom 2 bath house located on South Side Slopes with amazing views of the city! Central Air. Two rear decks facing the city! Very high end renovations. Laundry on site. Kitchen includes stainless steel appliances. Nice rear patio leading out to spacious yard. Great for entertaining!

Available July 1
$2350/month, plus utilities.

Security deposit $2350. Application fee $30/person, tenants must pass a background/credit check and provide proof of income.

No Pets Allowed

(RLNE3969433)Read less",2350.0
434 5th Ave Pittsburgh PA 15219,0.0,1.0,1.0,643.0,2020.0,99.0,100.0,185.0,1.0,1.0,1.0,"
About KAUFMANNS GRAND ON FIFTH
Kaufmann's Grand on Fifth offers the most stylish and historic living in the heart of downtown Pittsburgh. Located in the iconic Kaufmann building, Kaufmann's Grand on Fifth mixes the beauties of the past with the luxuries of today. Studio, one and two-bedroom apartments are beautifully appointed with contemporary finishes and features including over-sized windows, open kitchens and stainless steel appliances. Amongst the sought-after central locale, this re-development under the clock offers convenient access to entertainment and nightlife all throughout the ""Golden Triangle"" in Pittsburgh.



Unique Features



24/7 Security on site


Coffee In Lobby


Conference Rooms


Fitness Center


Gas Range


Jacuizz Tub, Turkish Marble Flooring









Community Amenities





Fitness Center





Elevator





Doorman





Concierge
 






Package Service


Controlled Access


Maintenance on site


Property Manager on Site


Doorman


Concierge


24 Hour Availability


On-Site Retail


Recycling


Planned Social Activities


Public Transportation


Key Fob Entry


Elevator


Disposal Chutes


Conference Room


Fitness Center






Apartment Features





Washer/Dryer - In Unit





Air Conditioning





Dishwasher





Wheelchair Accessible (Rooms)





High Speed Internet Access





Hardwood Floors





Walk-In Closets





Island Kitchen
 


Highlights



High Speed Internet Access


Wi-Fi


Washer/Dryer - In Unit


Air Conditioning


Heating


Ceiling Fans


Smoke Free


Cable Ready


Double Vanities


Tub/Shower


Surround Sound


Intercom


Sprinkler System


Wheelchair Accessible (Rooms)





Kitchen Features & Appliances



Dishwasher


Disposal


Ice Maker


Granite Countertops


Stainless Steel Appliances


Pantry


Island Kitchen


Eat-in Kitchen


Kitchen


Microwave


Oven


Range


Refrigerator


Freezer


Breakfast Nook


Instant Hot Water





Floor Plan Details



Hardwood Floors


Carpet


Tile Floors


Dining Room


Crown Molding


Vaulted Ceiling


Bay Window


Views


Walk-In Closets


Linen Closet


Window Coverings


Large Bedrooms


Grill






",1500.0
6810 Thomas Blvd Pittsburgh PA 15208,0.0,1.0,1.0,900.0,1910.0,72.0,62.0,0.0,0.0,1.0,0.0,"This second floor apartment features hardwood floors, decorative fireplace, ceiling fans, large windows, and plenty of closet space. The ceramic kitchen has a dishwasher, built in microwave, full refrigerator, and electric stove. 
Landlord pays water, sewage, gas for the hot water, and trash disposal. Tenant pays electric only. There is electric baseboard heat and a window AC unit will be installed upon request. 
This recently renovated Point Breeze 4 unit is located 2 blocks from Mellon Park and Bakery Square. It features off street parking and a yard behind the building & coin operated laundry and storage in the basement.

All of our properties are pet friendly for friendly pets with a two pet maximum. We require proof of vaccinations and licenses, but we do not charge additional rent or fees for pets.Read less",1050.0
2015 Plainview Ave Pittsburgh PA 15226,1.0,3.0,2.0,1600.0,1945.0,35.0,49.0,0.0,0.0,1.0,0.0,"Beautifully Updated 3 Bedroom Cape Cod available in May! This home features spacious Game Room and New Full Bath/Shower on Lower Level. Updated Kitchen w/New Floors. Private Back Patio for grilling and entertaining. Off-Street parking available off back-alley, or park in front. Location, location - 10 minutes from Downtown Pittsburgh, right on the other side of the Liberty Tunnel. Can catch the 39 bus into town (from Pioneer) that connects to the T!Contact us for details on renting this beautiful home.

Our ideal tenant earns 3 times the monthly rent; has NO history of evictions, felonies, violent crimes or fraud, and a good credit history. Pets are welcome, up to 60 lbs, with a $300 non-refundable pet fee (restrictions apply). The application fee is $55/person. Anyone 18 years or older who will be living in the home full-time must submit a separate application
WE DO NOT ADVERTISE ON CRAIG'SLIST . PLEASE BE AWARE OF SCAMS, WE WILL NEVER ASK YOU TO WIRE MONEY. YOU MUST GO THROUGH A SECOND AVENUE REPRESENTATIVE TO APPLY AND LEASE OUR HOMESRead less",1600.0
6957 Mcpherson Blvd Pittsburgh PA 15208,1.0,3.0,1.0,1300.0,1950.0,59.0,63.0,0.0,0.0,1.0,0.0,"This lovely 2nd floor duplex features 3 large bedrooms and 1 bathroom. 
$1400 deposit and $1400 per month
Tenant pays gas & electric
1 year lease
Cats may be considered with an additional deposit
No Dogs
No Smoking in the unit
No Section 8 
This spacious brick Point Breeze duplex features two units, both of which have hardwood floors, a fully equipped kitchen, a formal dining room, an outdoor living space, private laundry and off street parking.
This is a smoke free, dog free building and we do not accept any voucher programs.Read less",1400.0
1800 5th Ave Pittsburgh PA 15219,0.0,2.0,2.0,1125.0,1894.0,84.0,80.0,0.0,1.0,1.0,2.0,"Stunning 2BR/2BA Loft ; Blocks from Downtown - 100 off/month for UPMC/AHN/University EmployeesPLEASE NOTE:We are happy to announce that we have resumed touring vacant apartments! However, to minimize the risk of spreading coronavirus to our residents and staff, we have temporarily stopped conducting in-person tours of occupied apartments. If we have a similar apartment that is vacant, we can show that as an example. Additionally, we have virtual tours of many of our apartments that we are happy to share. If you are interested in an in-person tour, please contact us and we will set it up for you. We look forward to meeting you and renting you your new home!* Spacious 2BR/2Bath Loft ~ 1110 Sq Ft!* Airy high ceilings, stacked bedrooms - One captive, one open to loft.* Open Kitchen & Living Space.* Stainless Steel Appliances, including Dishwasher & Microwave; Granite Countertops and Maple Cabinets.* Rich Laminate Floors, Designer Lighting, and Custom Window Treatments.* Washer & dryer in-unit. Extra laundry room in the building as well.* Convenient to downtown, the South Side and Oakland, the Fifth Ave. Lofts provide a high-quality living experience.* This historic conversion blends the great features of a 100-year-old school with the conveniences of modern living.* Assigned Parking Available: Garage $100/month ; Deck $50/month.* Located approximately 1/2 mile from downtown Pittsburgh and 1 mile from Oakland, and the South Side.* Cat-friendly with $10/month non-refundable Cat Privilege Fee and refundable (assuming no damage caused) $200 Pet Deposit. (All per cat.)* Dog-friendly with $20/month non-refundable Dog Privilege Fee and refundable (assuming no damage caused) $400 Pet Deposit. (All per dog.)* Rent includes gas, water & sewage, and trash. Tenant pays electric.* High-efficiency Central Air and Heating System.* Building Amenities Include an Elevator, Parking Garage, Fitness Room, Bike Racks, Storage Lockers ($25/month), Trash Chute, and outdoor grilling area.* Email us now for more details! inquiry at steiner-realty dot com.**PHOTOS of similar (not exact) unit**Dogs allowed in some units(RLNE1863976)",1640.0
38 Greeley St Pittsburgh PA 15203,0.0,1.0,1.0,900.0,1890.0,84.0,51.0,0.0,1.0,0.0,0.0,"Newly Remodeled 1 Bedroom/1 Bathroom apartment in Southside.
Close to Carson Street, shops and restaurants and easy commute to downtown. 
Rent includes all utilities except electric (Heat is gas and its included in the rent, yay). 
It has a basement with some storage and a Washer/Dyer.
It's in a quiet neighborhood.

Owner pays for Gas, water/Sewer/Trash! Tenant only responsible for electricity!Read less",950.0
614 Southern Ave Mount Washington PA 15211,1.0,3.0,2.0,1444.0,1904.0,44.0,64.0,0.0,1.0,1.0,1.0,"NICE RENTAL!! Three-story Mt Washington home with 3 bedrooms and 2 full baths, ready for occupancy on August 1. SO MUCH TO OFFER including first floor laundry (washer and dryer included), updated eat-in-kitchen complete with stainless steel dishwasher, microwave, gas stove, fridge + newer cabinets, sink, fixtures, counters and flooring. Both bathrooms have also been updated! All new carpeting on second and third floors. Tons of closet space including a huge walk-in! 90% efficient furnace, and central air. Outside there's a great covered front porch, plus a rear porch perfect for grilling. The backyard is maintained by landlord so all you need to do is enjoy it! Room sizes as follows and are approximate: LR 15x13, DR/KIT 15x11, Laundry Room 10x5, BR1 15x11, BR2 14x12, BR 3 30x19 on third floor with 10x7 walk-in closet. Bonus room on 2nd floor (7x6). Full basement 29x17. PET FRIENDLY
 1 car garage + 1 off-street space in front of garage.

Pet friendly! Tenant pays utilities. Yard maintained by landlord. No smokers. No section 8 or vouchers.Read less",1695.0
201 Stanwix St Pittsburgh PA 15222,0.0,1.0,1.0,540.0,1950.0,97.0,99.0,0.0,1.0,1.0,2.0,"FEATURES:Modern kitchens with granite countertops, stainless steel appliances, and breakfast barWasher & dryer in each apartment9' ceilings and expansive windowsHigh-efficiency, individually controlled A/C and heatAMENITIES:Fully-equipped fitness center Controlled building accessControlled-entry off-street parking availableSecured bike roomPet friendlySERVICES:24-hour doormanPackage-acceptance service24-hour emergency maintenanceOnline resident portal featuring rent payments and work order entry for your convenienceNEIGHBORHOOD:Local attractions include Heinz Hall, the Benedum Center, the Byham Theater, the OiReilly Theater, August Wilson Center, Bricolage, Mattress Factory Art Museum, The Andy Warhol Museum, the Consol Energy Center, Stage AE, Rivers Casino, and the Pittsburgh OperaLocal universities include Point Park University, University of Pittsburgh, Carnegie Mellon University, Carlow University, and Duquesne UniversityAn array of dining options include Meat and Potatoes, Bluebird Kitchen, Winghart's Burger and Whiskey Bar, Lidia's Pittsburgh, Butcher and the Rye, Sienna Mercato, Seviche, Proper, Sonoma Grill, and Grit and Grace Centrally located to UPMC, PNC Bank, BNY Mellon, Allegheny County Courthouse, H.J. Heinz Company, among many other major corporate employersEnjoy close proximity to Market Square, The Rink at PPG Place, Mellon Square Park, Duquesne Incline, Point State Park, the Strip District, and Oakland",1275.0
4047 Penn Ave Pittsburgh PA 15224,0.0,2.0,2.0,1500.0,1950.0,95.0,58.0,0.0,1.0,0.0,0.0,"Beautiful 2 bedroom / 2 bath Newly renovated Luxury Condo with large deck and 2 covered parking spots located in the heart of Lawrenceville on Penn Ave. Just moments away from Children's Hospital, the Strip District, Downtown, and Bloomfield



Property Highlights:

- Newly renovated

- Large outdoor private deck with amazing views

- Open kitchen and dining room

- Stainless steel appliances-dishwasher, garbage disposal, stove, microwave, fridge with ice maker

- Granite counter tops

- Large pantry

- Large storage closets

- 2 Spacious bathrooms

- Large windows which allow an abundance of natural light

- Wood floors throughout

- 2 covered parking spots included

- Extra storage in basement



Available July 1!Read less",2549.0
475 Garner Ct Pittsburgh PA 15213,0.0,1.0,1.0,616.0,1999.0,58.0,69.0,0.0,1.0,1.0,2.0,"What\u0027re you waiting for?! Welcome to Oak Hill. Pittsburgh’s favorite apartment and town home community in the heart of the city. Oak Hill is steps away from most colleges, universities and hospitals. Entertainment, shopping and public transportation are right at your door. Free parking and complete access our fitness facility, swimming pools, tennis/basketball courts 24 Hour Emergency Maintenance, Access to Public Transportation, Ample Closet Space, Basketball Court, Ceramic Tile Bathrooms, Controlled Access Intercoms, Easy Highway Access 376,76,79,279, Energy Efficient Appliances, Free Outside Parking, Laundry Care Center in Each Bldg, On Site Convenience Store, On Site Management, Online Rental Payments Accepted, Parking Included, Professionally Maintained Grounds, Some Utilities Incl. *Select Apartments, Swimming Pools, Tennis Court, Walk to UPitt/UPMC, Wall to Wall Carpeting, Washer/Dryer in Every Town Home",1115.0
4107 Willow St Pittsburgh PA 15201,0.0,1.0,1.0,1018.0,1950.0,75.0,50.0,0.0,1.0,1.0,2.0,"The Foundry at 41st is bravely setting new standards for apartment living. Come home to comfort, luxury and endless amenities. Choose from a variety of stylish studios, one or two-bedroom apartments adorned with everything you'd expect from an upscale, resort-style community. Enjoy high-end features and finishes in your unit, a considerate amount of amenities, and contemporary decor designed around Pittsburgh's steel industry and the history of the former foundry located at the apartment building's site.Join us and embrace the mixture of history and modernity in a community that entwines Lawrenceville's industrial roots and evokes a trendy, urban vibe. From the secured parking garage to the well-equipped fitness center, grilling stations, and picnic areas, we've cautiously thought of all the details that offer our residents privacy, security, serenity, and fun. Hang out with friends on the rooftop terrace, quiet your mind in the yoga studio, or get the feeling of a permanent weekend getaway by spending some quality time by the pool. With the extensive list of amenities, there's something for every resident to enjoy.Our exceptional, riverfront location is just minutes from downtown Pittsburgh and popular Butler Street in the Lawrenceville neighborhood of Pittsburgh, PA or, according to TIME Money, the coolest neighborhood in America right now. The shops, restaurants, and bars within walking distance are sure to spice up your social life. And the boutiques, coffee shops and theatres offer a different vibe to mingle with your neighbors.The neighborhood, amenities, and dedicated staff make The Foundry one of the most desirable places to rent in Pittsburgh, PA. Take a glimpse into our welcoming community by browsing through the photo gallery and contact us today for a personal tour of your future home!",2348.0
4601 Bayard St Pittsburgh PA 15213,0.0,0.0,1.0,314.0,1913.0,90.0,70.0,110.0,2.0,0.0,3.0,"Situated between the residential neighborhoods of North Oakland and Shadyside, the King Edward is the ideal location in Pittsburgh. Three blocks from the University of Pittsburgh, four blocks from the Carnegie Mellon, and a mere eight blocks from Walnut Street, this luxurious building boasts spacious apartments in an ideal location. Imagine the daily enjoyment of the King Edward&#8217;s majestic splendor and architectural details. It&#8217;s everything you want in urban living: convenient location, unique apartments with style, character, and storage space. Laundry Facilities Onsite, Online Payments, onsite laundry and parking options, Public Transportation, Walking Distance To Universities, Washer/Dryer",775.0
2715 Murray Ave Pittsburgh PA 15217,0.0,1.0,1.0,770.0,1950.0,89.0,51.0,0.0,1.0,1.0,2.0,"The Morrowfield was built in the heyday of the newly emerging world of automobiles and movies. This grand structure was originally built as a luxury hotel and apartment building - it was converted to only apartments in the 1940's. Features:-Studios, 1 and 2 bedroom apartments-Pet friendly (furnished apartments are NOT pet friendly)-No Security Deposit-Heat (in most cases), water, cooking gas, hot water, sewage and trash included in rent-Off-street parking in garage (subject to availability)-PITT-CMU-UPMC Area-On-site laundry-Two passenger elevators-Intercom entrance-Air conditioning-Hardwood floors or carpet-Fully equipped kitchens",1050.0
435 Graham St Pittsburgh PA 15206,1.0,4.0,1.0,2100.0,1910.0,69.0,52.0,0.0,0.0,1.0,1.0,"WE ARE ALSO OFFERING VIDEO TOUR OVER SKYPE OR FACEBOOK MESSENGER OR FACETIME IF YOU PREFER TO HAVE A VIDEO TOUR SITTING AT YOUR HOME 

HUGE 4 BED 1 BATH Spacious Single Family House close to Penn Ave (East Liberty). 
Beautifully Renovated. All New painting, Wood like floor, New Kitchen cabinets, Bathroom renovated. It is really close to Penn Ave.
Rent: $1800, Tenant pays Gas+Electric+Water
Security: $2400
small Pets Ok, $50 added rent for each pet, Pet security is $300
1 year lease requested
Available: June 1st, 2021
 Please call Aiasha at This is an offer for rent a beautiful single family house located at a quiet place near East Liberty/Garfield. You will find plenty of parking around the house. It has a nice back yard and front porch. The first floor has dining, living room bathroom, 2nd and 3rd floor has all the bed rooms with additional bathroom. 
The whole first floor has wood floor.

1 year lease and $2400 deposit. Utilities (water, gas, electric) paid by tenants
PLEASE COPY PASTE THE FOLLOWING LINK TO YOUR BROWSER FOR A 3D VIDEO TOURRead less",1800.0
226 End Ave Pittsburgh PA 15221,0.0,2.0,1.0,1300.0,1940.0,78.0,63.0,0.0,0.0,1.0,0.0,"Easy walking to public transportation. 
Pet fee per pet. $150.00

Owner pays for water and garbage pick up and re-cycling 
Renter pays electric, gas, (heating and air conditioning)Read less",1150.0
300 Dithridge St Pittsburgh PA 15213,0.0,0.0,1.0,440.0,1950.0,88.0,70.0,0.0,1.0,1.0,2.0,"This secluded brick building, with its enclosed fountain courtyard, is located within walking distance of both Pittsburgh campuses and Oakland's night life. Features:-Studios to 2 bedroom apartments-Pet friendly-No Security Deposit-Heat, water, cooking gas, hot water, sewage and trash included in rent-Off-street parking in garage (subject to availability)-PITT-CMU-UPMC Area-On-site laundry-Intercom-Air conditioning-Hardwood floors or ceramic tile-Fully equipped kitchens",955.0
